"Test climate data set for detim/debam glacier (radiation in W/m2, wind in m/s, precip in mm/h, Temp in degC, humidity in %, discharge in m3/s); can only by run from JD 129-166"
year	day	time	airtemp	relhumidity	windspeed	winddir	global_rad	reflected	netradiation	longwave_in	Longwave_out	precip	discharge
1999	128.83	20	-11.97	87.2	1.92	272.9	29.48	26.25	18.83	180.3	237.9	0	-9999
1999	128.87	21	-11.64	85.95	1.99	275.05	12.38	10.93	12.91	181.2	236.57	0	-9999
1999	128.92	22	-11.74	85.95	2.04	276	1.67	1.63	8.84	186.35	238.73	0	-9999
1999	128.96	23	-11.94	87.8	1.52	262.3	0.02	0.02	2.46	191.25	238.1	0	-9999
1999	129	0	-12.06	89	1.74	250.05	0.01	0.01	-0.55	215	247.58	0	13.9155
1999	129.04	1	-11.34	90.45	1.87	284.9	0.1	0.1	12.97	242.4	257.53	0	13.0006
1999	129.08	2	-11.57	93.2	2.47	288.9	0.9	0.79	9.77	255.75	261.99	0	12.2256
1999	129.13	3	-11.56	94.15	2.32	285.35	7.96	7.13	12.26	258.9	263.28	0	11.5657
1999	129.17	4	-11.47	93.65	2.22	285.9	33.21	29.55	15.81	258.35	263.45	0	11.0009
1999	129.21	5	-11.87	93.15	1.91	279.85	74.57	65.89	13.45	255	262.93	0	10.5146
1999	129.25	6	-11.4	92.45	1.63	250.15	124.5	111	37.03	259.25	265.66	0	10.0934
1999	129.29	7	-11.11	91.45	1.06	308.2	210.85	185.8	32.06	257.45	269.77	0	9.7261
1999	129.33	8	-11.01	90.95	0.54	188.35	312.75	272	47.68	255.15	273.57	0	9.4127
1999	129.38	9	-11.01	90.55	0.38	272.35	380.45	324.5	35.89	232.4	272.34	0	9.1614
1999	129.42	10	-10.9	90	0.31	229.2	556.7	475.05	67.24	207.7	270.6	0	8.9814
1999	129.46	11	-10.75	89.35	0.35	201.85	714.5	603.55	76.65	193.3	276.37	0	8.8292
1999	129.5	12	-10.3	87.85	0.5	197	727.5	602.95	84.05	189.9	276.62	0	8.6792
1999	129.54	13	-10.05	84.9	0.93	247.25	715.5	582.6	78.24	187.45	276.7	0	8.5491
1999	129.58	14	-9.97	82.9	0.88	238.6	672.3	535.55	69.47	186.05	275.7	0	8.3874
1999	129.63	15	-9.81	82.3	1.58	248.9	598.55	466	72.06	184.8	271.67	0	8.2137
1999	129.67	16	-10.15	81.45	1.75	263.3	502.45	381.05	53.1	184.45	267.6	0	8.049
1999	129.71	17	-10.41	81.35	1.14	258.25	393.05	287.15	70.02	183.8	260.85	0	7.862
1999	129.75	18	-10.75	84.6	1.59	281.95	81.59	67.07	43.63	181.8	243.44	0	7.6926
1999	129.79	19	-11.16	85.75	1.8	282.9	36.67	34.38	26.81	182.75	239.17	0	7.5382
1999	129.83	20	-11.34	88.5	1.76	279.4	24.04	22.42	21.49	183.2	238.07	0	7.3965
1999	129.88	21	-11.32	91.25	1.43	283.6	10.79	9.74	15.67	192.75	237.85	0	7.2655
1999	129.92	22	-11.74	92.85	2.29	277.45	1.68	1.63	2.7	191.95	241.15	0	7.3
1999	129.96	23	-11.26	92.2	1.63	281.1	0.03	0.03	5.68	191.3	236	0	7.03
1999	130	0	-11.77	91.5	1.58	278.4	0	0	-4.16	195.7	234.82	0	6.9232
1999	130.04	1	-11.87	91.5	1.37	270.2	0.03	0.02	4.05	211.65	238.17	0	6.8225
1999	130.08	2	-11.77	92.95	1.25	273.2	0.74	0.62	8.26	218.25	240.38	0	6.727
1999	130.13	3	-12.53	92.1	1.77	279.75	8.54	7.5	16.49	221.8	242.15	0	6.6363
1999	130.17	4	-12.42	90.7	1.51	272.75	37.99	32.23	22.58	231.8	246.79	0	6.5497
1999	130.21	5	-12.41	90.75	0.87	292.25	118.05	93.89	17.07	218.55	244.69	0	6.4669
1999	130.25	6	-12.03	90.6	0.76	288.6	233.15	183.45	29.26	208.25	249.74	0	6.3875
1999	130.29	7	-11.45	90.6	0.29	232.6	377.95	302.15	32.22	209.2	263.31	0	6.3113
